Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Female,Total,6.213923931,2011,Labour market insecurity_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2011,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,2.8398163,2011,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2011,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,87.3,2011,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,91.93340412,2011,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2011,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,45.4526415,2011,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,76.3,2011,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,15.361255,2011,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,7.164665174,2011,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2011,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,2.687162696,2011,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,15.35784443,2011,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,88.05000305,2011,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,17.78846154,2011,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Tertiary education,58.4392,2011,Life expectancy at birth_Age:Total_Sex:Female_Education:Tertiary education
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,10.4247419,2011,Road deaths_Age:Total_Sex:Total_Education:Total
United States,6_5,Knowledge and skills,PO,Points,Adult literacy skills,,Total,Total,Total,271.72277,2012,Adult literacy skills_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,2.419992001,2012,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,8_2,Civic engagement,PT_VOTES,Percentage of votes,Voter turnout,,Total,Total,Total,66.66,2012,Voter turnout_Age:Total_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,13.479572,2012,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,74.06509162,2012,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,86.7,2012,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,8_1,Civic engagement,PT_POP_Y16T65_SUB,Percentage of population aged 16-65 in the same subgroup,Having a say in government,,Total,Total,Tertiary education,53.76797665,2012,Having a say in government_Age:Total_Sex:Total_Education:Tertiary education
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Tertiary education,2.609803438,2012,Labour market insecurity_Age:Total_Sex:Total_Education:Tertiary education
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,14.13871193,2012,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,80.139328,2012,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.475217003,2012,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,12.7455408,2012,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.2,2012,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,88.4,2012,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,83.7,2012,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,2.952145409,2012,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,37.00534821,2012,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,78.8,2012,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,12.72780717,2012,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,8_1_DEP,Civic engagement,PT_POP_Y16T65,Percentage of population aged 16-65 years,Not having a say in government,,Total,Total,Total,38.49470769,2012,Not having a say in government_Age:Total_Sex:Total_Education:Total
United States,8_1,Civic engagement,PT_POP_Y16T65_SUB,Percentage of population aged 16-65 in the same subgroup,Having a say in government,,Total,Male,Total,38.68878864,2012,Having a say in government_Age:Total_Sex:Male_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,8.2,2012,Homicides_Age:Total_Sex:Male_Education:Total
United States,6_5,Knowledge and skills,PO,Points,Adult literacy skills,,Old,Total,Total,264.6842041,2012,Adult literacy skills_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Old,Total,Total,3.779704809,2012,Labour market insecurity_Age:Old_Sex:Total_Education:Total
United States,3_1,Housing,PT_HH,Percentage of households,Households living in overcrowded conditions,,Total,Total,Total,3.685910627,2012,Households living in overcrowded conditions_Age:Total_Sex:Total_Education:Total
United States,3_4,Housing,PT_HH,Percentage of households,Poor households without access to basic sanitary facilities,,Total,Total,Total,0.455358578,2012,Poor households without access to basic sanitary facilities_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,73.9,2012,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Secondary education,13.91852796,2012,Negative affect balance_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Young,Total,Total,12.30201572,2012,Negative affect balance_Age:Young_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Female,Total,64.20485973,2012,Feeling safe at night_Age:Total_Sex:Female_Education:Total
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,63890,2012,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,8_1,Civic engagement,PT_POP_Y16T65_SUB,Percentage of population aged 16-65 in the same subgroup,Having a say in government,,Total,Female,Total,44.50770524,2012,Having a say in government_Age:Total_Sex:Female_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.2,2012,Homicides_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Old,Total,Total,91.25460386,2012,Social support_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Primary education,11.41118908,2012,Labour market insecurity_Age:Total_Sex:Total_Education:Primary education
United States,6_5,Knowledge and skills,PO,Points,Adult literacy skills,,Young,Total,Total,273.18595,2012,Adult literacy skills_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,92,2012,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,13.99472,2012,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Old,Total,Total,11.9647935,2012,Negative affect balance_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Middle-aged,Total,Total,4.566251755,2012,Labour market insecurity_Age:Middle-aged_Sex:Total_Education:Total
United States,8_1,Civic engagement,PT_POP_Y16T65_SUB,Percentage of population aged 16-65 in the same subgroup,Having a say in government,,Old,Total,Total,46.16516102,2012,Having a say in government_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,60.65137399,2012,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Male,Total,6.518502712,2012,Labour market insecurity_Age:Total_Sex:Male_Education:Total
United States,6_4,Knowledge and skills,PO,Points,Adult numeracy skills,,Young,Total,Total,253.94424,2012,Adult numeracy skills_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,52.879902,2012,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2012,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
